Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
28-12-2017,63,63.32,62.85,62.95,3987151,0,1,61.64661463,61.95974029,61.49983698,61.59768875,3987151
27-12-2017,63.56,63.6,62.77,62.95,8959745,0,1,62.19458454,62.23372525,61.42155556,61.59768875,8959745
26-12-2017,62.9,63.89,62.81,63.65,4563475,0,1,61.54876286,62.51749538,61.46069627,62.28265113,4563475
22-12-2017,61.21,63.54,60.13,63.29,20413895,0,1,59.89506796,62.17501419,58.83826886,61.93038476,20413895
21-12-2017,64.33,64.98,63.3,64.77,14312589,0,1,62.94804316,63.58407966,61.94016994,63.37859095,14312589
20-12-2017,64.4,64.5,63.58,63.59,12467507,0,1,63.0165394,63.11439117,62.21415489,62.22394007,12467507
19-12-2017,65.09,65.185,64.18,64.24,8211757,0,1,63.69171661,63.78467579,62.80126551,62.85997657,8211757
18-12-2017,64.99,65.08,64.39,64.81,12651762,0,1,63.59386484,63.68193143,63.00675423,63.41773166,12651762
15-12-2017,64.93,65.07,64.15,64.79,15659260,0,1,63.53515378,63.67214626,62.77190998,63.3981613,15659260
14-12-2017,64.435,64.85,64.05,64.53,13054089,0,1,63.05078752,63.45687236,62.67405821,63.1437467,13054089
13-12-2017,62.22,64.46,62.02,64.3,16072573,0,1,60.88337083,63.07525046,60.68766729,62.91868763,16072573
12-12-2017,61.81,62.53,61.65,62.17,7323390,0,1,60.48217858,61.18671132,60.32561575,60.83444495,7323390
11-12-2017,61.37,62.22,61.3,61.91,9017814,0,1,60.05163079,60.88337083,59.98313456,60.58003035,9017814
08-12-2017,60.5,61.37,60.29,61.3,6065031,0,1,59.2003204,60.05163079,58.99483169,59.98313456,6065031
07-12-2017,59.86,61.06,59.65,60.6,6113267,0,1,58.57406908,59.74829031,58.36858036,59.29817217,6113267
06-12-2017,60.41,60.85,59.7,59.72,7862151,0,1,59.11225381,59.54280159,58.41750625,58.4370766,7862151
05-12-2017,60.65,60.8,59.65,60.42,8862835,0,1,59.34709806,59.49387571,58.36858036,59.12203899,8862835
04-12-2017,60.27,60.695,59.97,60.1,7513230,0,1,58.97526133,59.39113135,58.68170602,58.80891332,7513230
01-12-2017,60.42,60.43,59.24,59.88,10113565,0.2,1,59.12203899,59.13182416,57.96738811,58.59363943,10113565
30-11-2017,60.26,61.21,60.2,60.42,12551203,0,1,58.76918629,59.69568358,58.71067067,58.92522794,12551203
29-11-2017,59.73,60.63,59.73,60.36,12022708,0,1,58.25229832,59.1300326,58.25229832,58.86671232,12022708
28-11-2017,58.76,59.6,58.54,59.58,8665270,0,1,57.30629582,58.12551448,57.09173855,58.10600928,8665270
